_id,year,month,region,total deaths
655df55323fa90604159a58f,2020,02,Paris,1283
655df55323fa90604159a590,2023,05,Paris,2784
655df55323fa90604159a591,1971,02,Paris,331
655df55323fa90604159a592,2022,01,Paris,5912
655df55323fa90604159a593,1975,06,Paris,1429
655df55323fa90604159a594,1978,03,Paris,1485
655df55323fa90604159a595,1977,07,Paris,1284
655df55323fa90604159a596,2020,03,Paris,1617
655df55323fa90604159a597,1984,09,Paris,1218
655df55323fa90604159a598,2019,10,Paris,4377
655df55323fa90604159a599,1986,05,Paris,1273
655df55323fa90604159a59a,1981,10,Paris,1432
655df55323fa90604159a59b,1977,04,Paris,1323
655df55323fa90604159a59c,1987,09,Paris,1190
655df55323fa90604159a59d,1981,06,Paris,1291
655df55323fa90604159a59e,1988,04,Paris,1290
655df55323fa90604159a59f,1976,02,Paris,1667
655df55323fa90604159a5a0,1973,09,Paris,1263
655df55323fa90604159a5a1,1972,06,Paris,1297
655df55323fa90604159a5a2,1989,08,Paris,1031
655df55323fa90604159a5a3,1986,09,Paris,1200
655df55323fa90604159a5a4,1989,07,Paris,1230
655df55323fa90604159a5a5,1976,09,Paris,1171
655df55323fa90604159a5a6,1975,01,Paris,1620
655df55323fa90604159a5a7,1970,03,Paris,326
655df55323fa90604159a5a8,1977,08,Paris,1095
655df55323fa90604159a5a9,1984,02,Paris,1379
655df55323fa90604159a5aa,2020,10,Paris,3341
655df55323fa90604159a5ab,1975,12,Paris,1614
655df55323fa90604159a5ac,1981,11,Paris,1326
655df55323fa90604159a5ad,1977,02,Paris,1396
655df55323fa90604159a5ae,1986,04,Paris,1239
655df55323fa90604159a5af,2016,06,Paris,3
655df55323fa90604159a5b0,1977,05,Paris,1396
655df55323fa90604159a5b1,1972,01,Paris,1632
655df55323fa90604159a5b2,1984,05,Paris,1372
655df55323fa90604159a5b3,2022,06,Paris,3871
655df55323fa90604159a5b4,1981,12,Paris,1476
655df55323fa90604159a5b5,1975,10,Paris,1432
655df55323fa90604159a5b6,1978,08,Paris,1123
655df55323fa90604159a5b7,1975,11,Paris,1447
655df55323fa90604159a5b8,2018,11,Paris,58
655df55323fa90604159a5b9,1974,12,Paris,1739
655df55323fa90604159a5ba,1979,12,Paris,1458
655df55323fa90604159a5bb,1971,03,Paris,404
655df55323fa90604159a5bc,1988,08,Paris,1125
655df55323fa90604159a5bd,1977,03,Paris,1441
655df55323fa90604159a5be,1973,04,Paris,1303
655df55323fa90604159a5bf,2017,08,Paris,2
655df55323fa90604159a5c0,1973,07,Paris,1246
655df55323fa90604159a5c1,1989,10,Paris,1357
655df55323fa90604159a5c2,1999,04,Paris,2
655df55323fa90604159a5c3,1982,10,Paris,1368
655df55323fa90604159a5c4,1974,11,Paris,1475
655df55323fa90604159a5c5,1985,11,Paris,1446
655df55323fa90604159a5c6,1982,06,Paris,1234
655df55323fa90604159a5c7,2018,01,Paris,6
655df55323fa90604159a5c8,1970,10,Paris,282
655df55323fa90604159a5c9,2021,03,Paris,5142
655df55323fa90604159a5ca,1987,07,Paris,1222
655df55323fa90604159a5cb,1985,12,Paris,1443
655df55323fa90604159a5cc,2011,10,Paris,2
655df55323fa90604159a5cd,2018,12,Paris,1514
655df55323fa90604159a5ce,1973,12,Paris,1457
655df55323fa90604159a5cf,1987,02,Paris,1380
655df55323fa90604159a5d0,1988,07,Paris,1165
655df55323fa90604159a5d1,1976,07,Paris,1604
655df55323fa90604159a5d2,2018,10,Paris,11
655df55323fa90604159a5d3,1988,09,Paris,1175
655df55323fa90604159a5d4,2023,02,Paris,2666
655df55323fa90604159a5d5,1978,10,Paris,1332
655df55323fa90604159a5d6,1974,01,Paris,1563
655df55323fa90604159a5d7,1988,02,Paris,1301
655df55323fa90604159a5d8,1983,08,Paris,1078
655df55323fa90604159a5d9,2014,01,Paris,3
655df55323fa90604159a5da,1976,04,Paris,1395
655df55323fa90604159a5db,2019,06,Paris,3994
655df55323fa90604159a5dc,2023,09,Paris,3723
655df55323fa90604159a5dd,1971,11,Paris,1260
655df55323fa90604159a5de,1979,06,Paris,1225
655df55323fa90604159a5df,1985,06,Paris,1246
655df55323fa90604159a5e0,1971,10,Paris,1250
655df55323fa90604159a5e1,2021,01,Paris,4853
655df55323fa90604159a5e2,2020,05,Paris,2816
